13.03.2021 18:31:49.561 0 DEBUG     HttpConnectionHandler (0x1eba3ab0320): handle new connection QtWebApp\httpserver\httpconnectionhandler.cpp 82
13.03.2021 18:31:49.562 0 DEBUG     HttpConnectionHandler (0x1eba3ab0320): read input QtWebApp\httpserver\httpconnectionhandler.cpp 155
13.03.2021 18:31:49.562 0 DEBUG     HttpRequest: read request QtWebApp\httpserver\httprequest.cpp 27
13.03.2021 18:31:49.562 0 DEBUG     HttpRequest: from 127.0.0.1: POST /sign-up HTTP/1.1 QtWebApp\httpserver\httprequest.cpp 44
13.03.2021 18:31:49.562 0 DEBUG     HttpRequest: received header host: localhost:8096 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 18:31:49.562 0 DEBUG     HttpRequest: received header user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 18:31:49.562 0 DEBUG     HttpRequest: received header accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 18:31:49.562 0 DEBUG     HttpRequest: received header accept-language: ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 18:31:49.562 0 DEBUG     HttpRequest: received header accept-encoding: gzip, deflate QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 18:31:49.562 0 DEBUG     HttpRequest: received header content-type: application/x-www-form-urlencoded QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 18:31:49.562 0 DEBUG     HttpRequest: received header content-length: 39 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 18:31:49.562 0 DEBUG     HttpRequest: received header origin: http://localhost:8096 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 18:31:49.562 0 DEBUG     HttpRequest: received header connection: keep-alive QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 18:31:49.562 0 DEBUG     HttpRequest: received header referer: http://localhost:8096/sign-up QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 18:31:49.562 0 DEBUG     HttpRequest: received header upgrade-insecure-requests: 1 QtWebApp\httpserver\httprequest.cpp 85
13.03.2021 18:31:49.562 0 DEBUG     HttpRequest: headers completed QtWebApp\httpserver\httprequest.cpp 103
